object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of dividing,Probability of normal,Probability of bad segmentations,Convexity,Object Area,Number of Defects,Skewness of Defect Area,Mean Defect Displacement,Kurtosis of Defect Area,Mean Defect Area,Convex Hull Area,Variance of Defect Area,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Maximum intensity,Size in pixels,Variance of Intensity,Radii of the object_0,Radii of the object_1,Total Intensity,Kurtosis of Intensity,Histogram of Intensity_0,Histogram of Intensity_1,Histogram of Intensity_2,Histogram of Intensity_3,Histogram of Intensity_4,Histogram of Intensity_5,Histogram of Intensity_6,Histogram of Intensity_7,Histogram of Intensity_8,Histogram of Intensity_9,Histogram of Intensity_10,Histogram of Intensity_11,Histogram of Intensity_12,Histogram of Intensity_13,Histogram of Intensity_14,Histogram of Intensity_15,Histogram of Intensity_16,Histogram of Intensity_17,Histogram of Intensity_18,Histogram of Intensity_19,Histogram of Intensity_20,Histogram of Intensity_21,Histogram of Intensity_22,Histogram of Intensity_23,Histogram of Intensity_24,Histogram of Intensity_25,Histogram of Intensity_26,Histogram of Intensity_27,Histogram of Intensity_28,Histogram of Intensity_29,Histogram of Intensity_30,Histogram of Intensity_31,Histogram of Intensity_32,Histogram of Intensity_33,Histogram of Intensity_34,Histogram of Intensity_35,Histogram of Intensity_36,Histogram of Intensity_37,Histogram of Intensity_38,Histogram of Intensity_39,Histogram of Intensity_40,Histogram of Intensity_41,Histogram of Intensity_42,Histogram of Intensity_43,Histogram of Intensity_44,Histogram of Intensity_45,Histogram of Intensity_46,Histogram of Intensity_47,Histogram of Intensity_48,Histogram of Intensity_49,Histogram of Intensity_50,Histogram of Intensity_51,Histogram of Intensity_52,Histogram of Intensity_53,Histogram of Intensity_54,Histogram of Intensity_55,Histogram of Intensity_56,Histogram of Intensity_57,Histogram of Intensity_58,Histogram of Intensity_59,Histogram of Intensity_60,Histogram of Intensity_61,Histogram of Intensity_62,Histogram of Intensity_63,Mean Intensity,Skewness of Intensity,Quantiles of Intensity_0,Quantiles of Intensity_1,Quantiles of Intensity_2,Quantiles of Intensity_3,Quantiles of Intensity_4,Quantiles of Intensity_5,Quantiles of Intensity_6,Minimum intensity,Maximum intensity in neighborhood,Variance of Intensity in neighborhood,Total Intensity in neighborhood,Kurtosis of Intensity in neighborhood,Histogram of Intensity in neighborhood_0,Histogram of Intensity in neighborhood_1,Histogram of Intensity in neighborhood_2,Histogram of Intensity in neighborhood_3,Histogram of Intensity in neighborhood_4,Histogram of Intensity in neighborhood_5,Histogram of Intensity in neighborhood_6,Histogram of Intensity in neighborhood_7,Histogram of Intensity in neighborhood_8,Histogram of Intensity in neighborhood_9,Histogram of Intensity in neighborhood_10,Histogram of Intensity in neighborhood_11,Histogram of Intensity in neighborhood_12,Histogram of Intensity in neighborhood_13,Histogram of Intensity in neighborhood_14,Histogram of Intensity in neighborhood_15,Histogram of Intensity in neighborhood_16,Histogram of Intensity in neighborhood_17,Histogram of Intensity in neighborhood_18,Histogram of Intensity in neighborhood_19,Histogram of Intensity in neighborhood_20,Histogram of Intensity in neighborhood_21,Histogram of Intensity in neighborhood_22,Histogram of Intensity in neighborhood_23,Histogram of Intensity in neighborhood_24,Histogram of Intensity in neighborhood_25,Histogram of Intensity in neighborhood_26,Histogram of Intensity in neighborhood_27,Histogram of Intensity in neighborhood_28,Histogram of Intensity in neighborhood_29,Histogram of Intensity in neighborhood_30,Histogram of Intensity in neighborhood_31,Histogram of Intensity in neighborhood_32,Histogram of Intensity in neighborhood_33,Histogram of Intensity in neighborhood_34,Histogram of Intensity in neighborhood_35,Histogram of Intensity in neighborhood_36,Histogram of Intensity in neighborhood_37,Histogram of Intensity in neighborhood_38,Histogram of Intensity in neighborhood_39,Histogram of Intensity in neighborhood_40,Histogram of Intensity in neighborhood_41,Histogram of Intensity in neighborhood_42,Histogram of Intensity in neighborhood_43,Histogram of Intensity in neighborhood_44,Histogram of Intensity in neighborhood_45,Histogram of Intensity in neighborhood_46,Histogram of Intensity in neighborhood_47,Histogram of Intensity in neighborhood_48,Histogram of Intensity in neighborhood_49,Histogram of Intensity in neighborhood_50,Histogram of Intensity in neighborhood_51,Histogram of Intensity in neighborhood_52,Histogram of Intensity in neighborhood_53,Histogram of Intensity in neighborhood_54,Histogram of Intensity in neighborhood_55,Histogram of Intensity in neighborhood_56,Histogram of Intensity in neighborhood_57,Histogram of Intensity in neighborhood_58,Histogram of Intensity in neighborhood_59,Histogram of Intensity in neighborhood_60,Histogram of Intensity in neighborhood_61,Histogram of Intensity in neighborhood_62,Histogram of Intensity in neighborhood_63,Mean Intensity in neighborhood,Skewness of Intensity in neighborhood,Minimum intensity in neighborhood,Length of the Skeleton,Number of Branches,Diameter,Euclidean Diameter,Average Branch Length,Number of Holes,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,normal,0.03,0.97,0.0,0.7777778,245.0,2.0,0.0,9.690763,0.0,35.0,315.0,392.0,0.990303,-0.13892436,-0.13892436,-0.990303,482.0,245.0,2276.063,5.3428826,3.8227112,90252.0,0.47123486,0.0,0.0,4.0,9.0,5.0,11.0,22.0,39.0,48.0,54.0,38.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.37552,-0.762715,225.0,302.21164,341.4493,374.6403,402.102,423.28906,482.0,225.0,523.0,5086.788,374767.0,11.176076,117.0,1191.0,842.0,105.0,35.0,18.0,11.0,14.0,9.0,8.0,4.0,5.0,6.0,6.0,1.0,1.0,3.0,6.0,7.0,1.0,4.0,6.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,9.0,8.0,7.0,11.0,5.0,6.0,10.0,4.0,10.0,5.0,6.0,5.0,6.0,4.0,4.0,4.0,2.0,4.0,2.0,0.0,2.0,1.0,4.0,145.54059,3.4965906,112.0,76.18377,10.0,23.727922,18.027756,7.6183767,0.0,798.0,0.0,819.0,15.0,807.19183,5.779592
1,0,2,0,normal,0.01,0.99,0.0,0.79545456,315.0,4.0,0.2230387,10.925442,-4.7264137,20.25,396.0,94.916664,-0.3407616,-0.9401497,0.9401497,-0.3407616,516.0,315.0,3553.24,5.687629,4.4168005,122055.0,-0.21698701,0.0,0.0,4.0,11.0,10.0,12.0,22.0,29.0,41.0,58.0,49.0,36.0,28.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.4762,-0.46525046,233.0,301.056,351.26428,393.7508,429.3192,462.26395,516.0,233.0,545.0,6129.7007,534285.0,7.8774476,370.0,1775.0,684.0,165.0,68.0,33.0,21.0,20.0,10.0,10.0,9.0,8.0,6.0,9.0,7.0,9.0,9.0,6.0,2.0,7.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,6.0,3.0,7.0,5.0,12.0,12.0,12.0,8.0,20.0,10.0,17.0,17.0,13.0,19.0,23.0,18.0,11.0,5.0,17.0,9.0,6.0,5.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,151.65627,3.0375907,114.0,140.19595,19.0,25.142136,18.35756,7.3787346,0.0,408.0,7.0,426.0,29.0,416.5016,17.714285
2,0,3,0,normal,0.04,0.91,0.05,0.7744361,309.0,4.0,1.5595075,10.865471,2.1726007,22.5,399.0,43.666668,0.9158574,0.4015037,0.4015037,-0.9158574,545.0,309.0,3959.5107,5.2527504,4.6940975,121512.0,0.7142851,0.0,0.0,12.0,9.0,7.0,6.0,11.0,19.0,41.0,51.0,65.0,43.0,31.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.2427,-0.831342,219.0,299.68698,366.3344,404.99725,435.02344,463.2995,545.0,219.0,516.0,4892.661,642984.0,10.744721,388.0,2024.0,1073.0,346.0,96.0,32.0,28.0,22.0,13.0,9.0,9.0,8.0,8.0,6.0,7.0,7.0,7.0,4.0,3.0,3.0,6.0,4.0,2.0,7.0,2.0,2.0,3.0,4.0,3.0,1.0,5.0,4.0,5.0,8.0,6.0,6.0,5.0,8.0,11.0,14.0,9.0,6.0,16.0,17.0,18.0,12.0,12.0,17.0,8.0,14.0,14.0,7.0,14.0,8.0,7.0,7.0,10.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,145.73526,3.4498484,113.0,126.053825,16.0,22.727922,18.0,7.878364,0.0,427.0,23.0,448.0,42.0,436.7152,32.106796
3,0,4,0,bad segmentations,0.0,0.39,0.61,0.8464912,579.0,4.0,-1.6462243,16.726303,2.704265,26.25,684.0,24.916666,0.032824673,-0.9994611,0.9994611,0.032824673,564.0,579.0,4826.462,9.260868,4.983597,239109.0,0.19849022,0.0,0.0,7.0,20.0,19.0,18.0,19.0,23.0,40.0,64.0,99.0,109.0,75.0,43.0,26.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.9689,-0.6809918,229.0,303.8592,381.48535,424.53363,457.7099,491.4303,564.0,229.0,518.0,6365.347,814389.0,5.7807584,245.0,2018.0,1731.0,352.0,115.0,47.0,43.0,27.0,30.0,20.0,20.0,13.0,20.0,16.0,10.0,2.0,6.0,11.0,8.0,7.0,6.0,15.0,6.0,8.0,2.0,9.0,3.0,5.0,2.0,12.0,6.0,6.0,10.0,13.0,13.0,11.0,18.0,26.0,32.0,20.0,22.0,33.0,26.0,23.0,33.0,34.0,14.0,28.0,21.0,17.0,20.0,11.0,16.0,6.0,7.0,10.0,1.0,4.0,5.0,2.0,3.0,3.0,1.0,2.0,153.48454,2.6759765,111.0,189.50967,22.0,37.72792,32.38827,8.614076,0.0,775.0,24.0,794.0,60.0,784.10016,41.683937
4,0,5,0,normal,0.0,0.9,0.1,0.6869048,577.0,4.0,1.6889763,14.455897,2.7530484,65.75,840.0,3342.25,0.817243,0.57629323,0.57629323,-0.817243,560.0,577.0,3481.832,8.229821,5.746076,219947.0,0.39127186,0.0,0.0,9.0,22.0,21.0,30.0,28.0,48.0,95.0,137.0,97.0,36.0,27.0,15.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.19064,-0.34918326,225.0,292.80283,352.0272,388.30008,416.0307,450.21292,560.0,225.0,449.0,333.2337,672696.0,133.66711,375.0,2420.0,1820.0,493.0,93.0,38.0,19.0,21.0,15.0,14.0,12.0,10.0,10.0,4.0,11.0,6.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,124.205315,10.17546,111.0,220.72287,26.0,38.384777,21.023796,8.489341,0.0,718.0,32.0,748.0,60.0,731.49396,46.760834
5,0,6,0,normal,0.0,1.0,0.0,0.72884613,379.0,4.0,0.027737716,11.830006,-4.6660714,35.25,520.0,518.25,-0.4016589,-0.91578937,0.91578937,-0.4016589,518.0,379.0,3610.0488,6.710575,4.506929,144977.0,0.0178003,0.0,0.0,3.0,20.0,16.0,9.0,18.0,47.0,61.0,70.0,56.0,40.0,22.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.52505,-0.48723912,228.0,286.7303,349.63715,387.4154,422.55566,453.79843,518.0,228.0,564.0,8229.584,747594.0,6.7216406,717.0,2564.0,731.0,174.0,50.0,22.0,27.0,22.0,14.0,12.0,10.0,10.0,11.0,7.0,3.0,5.0,8.0,3.0,2.0,7.0,4.0,8.0,4.0,2.0,5.0,7.0,4.0,0.0,3.0,7.0,3.0,6.0,5.0,6.0,5.0,10.0,11.0,5.0,15.0,12.0,17.0,12.0,25.0,27.0,28.0,29.0,21.0,34.0,29.0,17.0,20.0,18.0,10.0,11.0,11.0,4.0,4.0,9.0,6.0,1.0,5.0,4.0,3.0,2.0,153.57314,2.862888,111.0,157.02438,20.0,28.727922,18.867962,7.851219,0.0,798.0,49.0,818.0,75.0,807.5488,61.73615
6,0,7,0,normal,0.0,0.6,0.4,0.73211783,522.0,4.0,-0.24568383,14.168645,-3.013837,47.75,713.0,348.91666,0.9769728,-0.21336378,-0.21336378,-0.9769728,560.0,522.0,4093.0112,7.8098397,5.3404737,198148.0,-0.15261641,0.0,1.0,12.0,14.0,23.0,32.0,47.0,52.0,64.0,73.0,97.0,55.0,23.0,17.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.59387,-0.22994868,206.0,289.9572,335.95822,387.36258,423.47052,452.53967,560.0,206.0,508.0,3603.683,806950.0,6.933828,29.0,855.0,1902.0,909.0,230.0,88.0,72.0,52.0,46.0,61.0,38.0,47.0,59.0,49.0,91.0,53.0,71.0,64.0,67.0,51.0,26.0,13.0,14.0,8.0,7.0,6.0,5.0,12.0,15.0,10.0,17.0,7.0,9.0,26.0,17.0,21.0,16.0,14.0,15.0,22.0,13.0,21.0,12.0,14.0,12.0,11.0,9.0,7.0,5.0,9.0,4.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,153.82196,2.6622102,111.0,215.30865,25.0,33.31371,30.265491,8.612347,0.0,322.0,62.0,353.0,85.0,337.33908,72.917625
7,0,8,0,normal,0.19,0.66,0.15,0.7865353,479.0,4.0,-0.6314251,13.724171,0.0511737,32.5,609.0,65.666664,0.9929663,0.1183976,0.1183976,-0.9929663,692.0,479.0,6555.894,7.388476,5.163737,232814.0,1.0362649,0.0,0.0,2.0,7.0,9.0,10.0,7.0,8.0,13.0,11.0,16.0,31.0,44.0,84.0,77.0,62.0,44.0,33.0,14.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.04175,-1.0067323,231.0,367.59592,455.69193,498.864,538.267,574.3069,692.0,231.0,443.0,2823.9133,708095.0,11.917171,49.0,943.0,2081.0,1053.0,387.0,88.0,36.0,28.0,14.0,24.0,13.0,10.0,7.0,5.0,5.0,13.0,2.0,5.0,10.0,4.0,4.0,6.0,5.0,9.0,6.0,3.0,3.0,3.0,0.0,2.0,5.0,5.0,5.0,4.0,10.0,3.0,14.0,12.0,15.0,17.0,7.0,17.0,13.0,25.0,17.0,16.0,13.0,12.0,14.0,15.0,9.0,8.0,13.0,6.0,11.0,0.0,2.0,5.0,2.0,3.0,1.0,0.0,2.0,1.0,138.2998,3.5963888,109.0,192.16652,21.0,31.31371,26.41969,9.150786,0.0,410.0,71.0,439.0,92.0,424.01462,80.77453
8,0,9,0,normal,0.0,0.93,0.07,0.7519841,379.0,4.0,1.6696069,12.535756,2.975647,31.25,504.0,243.58333,0.9902544,0.13927013,0.13927013,-0.9902544,443.0,379.0,1497.0171,6.9056916,4.43782,125814.0,-0.263999,0.0,0.0,1.0,9.0,45.0,59.0,90.0,80.0,53.0,27.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.96307,0.17168719,233.0,279.42563,304.15533,331.50018,358.8607,385.78253,443.0,233.0,692.0,12369.779,858606.0,3.9653862,314.0,2326.0,988.0,182.0,74.0,66.0,39.0,24.0,21.0,18.0,16.0,14.0,25.0,15.0,22.0,10.0,6.0,11.0,18.0,11.0,16.0,21.0,25.0,36.0,35.0,30.0,30.0,39.0,42.0,24.0,21.0,25.0,29.0,17.0,11.0,24.0,9.0,16.0,16.0,13.0,20.0,24.0,19.0,23.0,21.0,18.0,23.0,16.0,11.0,13.0,18.0,7.0,7.0,2.0,7.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,174.54889,2.255115,109.0,145.29646,18.0,29.31371,26.683329,8.072026,0.0,374.0,80.0,402.0,98.0,388.2454,88.27705
9,0,10,0,normal,0.0,0.99,0.01,0.7202381,363.0,4.0,-0.04255612,11.242172,-5.6621294,35.25,504.0,424.91666,0.40413705,-0.9146985,0.9146985,0.40413705,468.0,363.0,1776.6796,6.394684,4.59161,125906.0,-0.13180354,0.0,0.0,3.0,8.0,20.0,36.0,81.0,72.0,70.0,39.0,25.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.84848,-0.10900193,238.0,291.79886,318.69376,346.20074,376.26773,404.30344,468.0,238.0,560.0,9344.194,844605.0,2.3316264,220.0,1588.0,1201.0,410.0,132.0,79.0,60.0,48.0,35.0,28.0,30.0,27.0,25.0,23.0,25.0,24.0,23.0,19.0,15.0,12.0,6.0,11.0,18.0,17.0,19.0,21.0,16.0,34.0,30.0,32.0,31.0,28.0,39.0,24.0,29.0,28.0,26.0,25.0,22.0,20.0,25.0,29.0,38.0,30.0,27.0,38.0,24.0,21.0,19.0,16.0,15.0,9.0,15.0,7.0,6.0,9.0,4.0,6.0,2.0,1.0,1.0,3.0,0.0,2.0,174.25314,1.9121176,112.0,148.36754,20.0,26.970562,11.401754,7.4183764,0.0,357.0,87.0,378.0,111.0,367.08264,98.56198
