object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of dividing,Probability of normal,Probability of bad segmentations,Convexity,Object Area,Number of Defects,Skewness of Defect Area,Mean Defect Displacement,Kurtosis of Defect Area,Mean Defect Area,Convex Hull Area,Variance of Defect Area,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Maximum intensity,Size in pixels,Variance of Intensity,Radii of the object_0,Radii of the object_1,Total Intensity,Kurtosis of Intensity,Histogram of Intensity_0,Histogram of Intensity_1,Histogram of Intensity_2,Histogram of Intensity_3,Histogram of Intensity_4,Histogram of Intensity_5,Histogram of Intensity_6,Histogram of Intensity_7,Histogram of Intensity_8,Histogram of Intensity_9,Histogram of Intensity_10,Histogram of Intensity_11,Histogram of Intensity_12,Histogram of Intensity_13,Histogram of Intensity_14,Histogram of Intensity_15,Histogram of Intensity_16,Histogram of Intensity_17,Histogram of Intensity_18,Histogram of Intensity_19,Histogram of Intensity_20,Histogram of Intensity_21,Histogram of Intensity_22,Histogram of Intensity_23,Histogram of Intensity_24,Histogram of Intensity_25,Histogram of Intensity_26,Histogram of Intensity_27,Histogram of Intensity_28,Histogram of Intensity_29,Histogram of Intensity_30,Histogram of Intensity_31,Histogram of Intensity_32,Histogram of Intensity_33,Histogram of Intensity_34,Histogram of Intensity_35,Histogram of Intensity_36,Histogram of Intensity_37,Histogram of Intensity_38,Histogram of Intensity_39,Histogram of Intensity_40,Histogram of Intensity_41,Histogram of Intensity_42,Histogram of Intensity_43,Histogram of Intensity_44,Histogram of Intensity_45,Histogram of Intensity_46,Histogram of Intensity_47,Histogram of Intensity_48,Histogram of Intensity_49,Histogram of Intensity_50,Histogram of Intensity_51,Histogram of Intensity_52,Histogram of Intensity_53,Histogram of Intensity_54,Histogram of Intensity_55,Histogram of Intensity_56,Histogram of Intensity_57,Histogram of Intensity_58,Histogram of Intensity_59,Histogram of Intensity_60,Histogram of Intensity_61,Histogram of Intensity_62,Histogram of Intensity_63,Mean Intensity,Skewness of Intensity,Quantiles of Intensity_0,Quantiles of Intensity_1,Quantiles of Intensity_2,Quantiles of Intensity_3,Quantiles of Intensity_4,Quantiles of Intensity_5,Quantiles of Intensity_6,Minimum intensity,Maximum intensity in neighborhood,Variance of Intensity in neighborhood,Total Intensity in neighborhood,Kurtosis of Intensity in neighborhood,Histogram of Intensity in neighborhood_0,Histogram of Intensity in neighborhood_1,Histogram of Intensity in neighborhood_2,Histogram of Intensity in neighborhood_3,Histogram of Intensity in neighborhood_4,Histogram of Intensity in neighborhood_5,Histogram of Intensity in neighborhood_6,Histogram of Intensity in neighborhood_7,Histogram of Intensity in neighborhood_8,Histogram of Intensity in neighborhood_9,Histogram of Intensity in neighborhood_10,Histogram of Intensity in neighborhood_11,Histogram of Intensity in neighborhood_12,Histogram of Intensity in neighborhood_13,Histogram of Intensity in neighborhood_14,Histogram of Intensity in neighborhood_15,Histogram of Intensity in neighborhood_16,Histogram of Intensity in neighborhood_17,Histogram of Intensity in neighborhood_18,Histogram of Intensity in neighborhood_19,Histogram of Intensity in neighborhood_20,Histogram of Intensity in neighborhood_21,Histogram of Intensity in neighborhood_22,Histogram of Intensity in neighborhood_23,Histogram of Intensity in neighborhood_24,Histogram of Intensity in neighborhood_25,Histogram of Intensity in neighborhood_26,Histogram of Intensity in neighborhood_27,Histogram of Intensity in neighborhood_28,Histogram of Intensity in neighborhood_29,Histogram of Intensity in neighborhood_30,Histogram of Intensity in neighborhood_31,Histogram of Intensity in neighborhood_32,Histogram of Intensity in neighborhood_33,Histogram of Intensity in neighborhood_34,Histogram of Intensity in neighborhood_35,Histogram of Intensity in neighborhood_36,Histogram of Intensity in neighborhood_37,Histogram of Intensity in neighborhood_38,Histogram of Intensity in neighborhood_39,Histogram of Intensity in neighborhood_40,Histogram of Intensity in neighborhood_41,Histogram of Intensity in neighborhood_42,Histogram of Intensity in neighborhood_43,Histogram of Intensity in neighborhood_44,Histogram of Intensity in neighborhood_45,Histogram of Intensity in neighborhood_46,Histogram of Intensity in neighborhood_47,Histogram of Intensity in neighborhood_48,Histogram of Intensity in neighborhood_49,Histogram of Intensity in neighborhood_50,Histogram of Intensity in neighborhood_51,Histogram of Intensity in neighborhood_52,Histogram of Intensity in neighborhood_53,Histogram of Intensity in neighborhood_54,Histogram of Intensity in neighborhood_55,Histogram of Intensity in neighborhood_56,Histogram of Intensity in neighborhood_57,Histogram of Intensity in neighborhood_58,Histogram of Intensity in neighborhood_59,Histogram of Intensity in neighborhood_60,Histogram of Intensity in neighborhood_61,Histogram of Intensity in neighborhood_62,Histogram of Intensity in neighborhood_63,Mean Intensity in neighborhood,Skewness of Intensity in neighborhood,Minimum intensity in neighborhood,Length of the Skeleton,Number of Branches,Diameter,Euclidean Diameter,Average Branch Length,Number of Holes,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,normal,0.4,0.51,0.09,0.73376626,113.0,3.0,1.2523897,6.5520625,0.0,13.666667,154.0,142.33333,0.9265307,0.3762191,0.3762191,-0.9265307,326.0,113.0,411.66934,3.647294,2.606809,30919.0,-0.3664977,0.0,0.0,7.0,36.0,48.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.61948,0.06035154,224.0,246.03807,257.213,273.6128,287.58145,304.78064,326.0,224.0,353.0,2562.1484,312062.0,-1.2070171,4.0,8.0,10.0,26.0,37.0,39.0,54.0,41.0,63.0,42.0,35.0,39.0,30.0,30.0,18.0,28.0,18.0,19.0,18.0,21.0,23.0,8.0,15.0,13.0,20.0,15.0,17.0,17.0,25.0,24.0,27.0,31.0,37.0,25.0,24.0,24.0,43.0,26.0,34.0,30.0,38.0,25.0,28.0,26.0,31.0,20.0,20.0,15.0,17.0,13.0,4.0,9.0,15.0,11.0,7.0,5.0,10.0,5.0,2.0,0.0,1.0,1.0,2.0,2.0,228.61685,0.1652865,145.0,16.242641,3.0,10.828427,10.198039,5.4142137,0.0,0.0,0.0,14.0,11.0,6.840708,4.0176992
1,0,2,0,normal,0.0,0.87,0.13,0.6818182,270.0,4.0,0.7820223,9.299968,0.53959614,31.5,396.0,400.33334,0.21185802,-0.97730047,0.97730047,0.21185802,353.0,270.0,723.07117,6.127776,4.0517507,77861.0,-0.05924826,0.0,3.0,10.0,47.0,85.0,72.0,47.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.37408,-0.20256846,207.0,250.27293,269.0317,287.8796,309.6264,327.53592,353.0,207.0,368.0,3012.0374,588469.0,-1.0307901,2.0,2.0,8.0,29.0,56.0,121.0,208.0,169.0,192.0,171.0,142.0,69.0,98.0,69.0,65.0,40.0,42.0,46.0,16.0,40.0,35.0,27.0,29.0,27.0,33.0,25.0,33.0,34.0,32.0,40.0,29.0,58.0,59.0,29.0,43.0,58.0,41.0,55.0,64.0,50.0,50.0,43.0,49.0,46.0,41.0,25.0,35.0,25.0,18.0,12.0,21.0,21.0,8.0,10.0,5.0,9.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,208.97337,0.5841104,129.0,91.669044,13.0,29.31371,14.56022,7.051465,0.0,21.0,0.0,39.0,22.0,29.318518,11.1
2,0,3,0,normal,0.37,0.54,0.09,0.75,66.0,3.0,1.7320508,7.166271,0.0,7.3333335,88.0,0.33333334,0.9998997,-0.014164634,-0.014164634,-0.9998997,348.0,66.0,392.6529,5.7538486,0.97393656,18066.0,1.8675799,0.0,0.0,4.0,19.0,32.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.72726,0.5449812,224.0,246.45099,258.81784,274.3545,286.59253,301.115,348.0,224.0,404.0,4201.324,406542.0,0.5307797,5.0,25.0,77.0,224.0,276.0,292.0,241.0,170.0,101.0,42.0,34.0,24.0,22.0,16.0,15.0,12.0,14.0,9.0,4.0,15.0,11.0,8.0,17.0,5.0,9.0,9.0,15.0,8.0,6.0,7.0,9.0,4.0,15.0,7.0,9.0,21.0,17.0,19.0,15.0,14.0,20.0,27.0,17.0,22.0,27.0,32.0,21.0,15.0,22.0,14.0,11.0,9.0,12.0,5.0,6.0,3.0,2.0,1.0,0.0,4.0,5.0,0.0,1.0,1.0,191.76509,1.4242574,131.0,6.8284273,2.0,6.8284273,2.0,3.4142137,0.0,68.0,0.0,90.0,4.0,78.257576,1.1212121
3,0,4,0,normal,0.07,0.89,0.04,0.72161174,197.0,2.0,0.0,9.265742,0.0,38.0,273.0,648.0,0.9849899,-0.17261225,-0.17261225,-0.9849899,379.0,197.0,854.79803,5.021521,3.4242291,61991.0,-0.21012142,0.0,0.0,1.0,11.0,28.0,51.0,68.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.67514,-0.30681372,231.0,273.46445,294.97665,317.02402,334.214,352.15155,379.0,231.0,411.0,5357.315,492136.0,-0.95480144,3.0,37.0,136.0,334.0,315.0,312.0,124.0,70.0,44.0,42.0,15.0,20.0,14.0,18.0,15.0,16.0,11.0,8.0,12.0,11.0,14.0,12.0,14.0,20.0,10.0,11.0,18.0,20.0,19.0,27.0,28.0,54.0,47.0,44.0,46.0,28.0,39.0,46.0,47.0,44.0,42.0,28.0,34.0,20.0,27.0,20.0,28.0,14.0,26.0,5.0,13.0,12.0,15.0,5.0,13.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,200.05528,0.77027446,122.0,53.698486,8.0,17.899494,9.899495,6.712311,0.0,156.0,0.0,177.0,13.0,164.75635,4.8781724
4,0,5,0,normal,0.03,0.91,0.06,0.767313,277.0,4.0,-0.4421795,9.974592,-3.311762,21.0,361.0,178.66667,0.64254886,-0.7662447,0.7662447,0.64254886,411.0,277.0,1113.1918,5.3676114,4.119745,88003.0,-0.3435162,0.0,1.0,2.0,16.0,39.0,61.0,85.0,46.0,23.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.70035,-0.10045079,219.0,272.2321,295.0491,319.8512,340.0755,361.51382,411.0,219.0,379.0,3253.209,453894.0,2.9943776,15.0,69.0,267.0,549.0,592.0,403.0,187.0,108.0,61.0,26.0,30.0,21.0,12.0,11.0,10.0,8.0,4.0,12.0,6.0,6.0,3.0,8.0,6.0,10.0,9.0,6.0,4.0,11.0,4.0,2.0,9.0,7.0,7.0,6.0,4.0,11.0,14.0,19.0,14.0,14.0,14.0,16.0,25.0,16.0,20.0,24.0,14.0,22.0,18.0,14.0,8.0,8.0,8.0,21.0,3.0,7.0,6.0,4.0,4.0,7.0,1.0,2.0,0.0,2.0,160.44327,2.0993347,117.0,88.669044,13.0,21.142136,17.464249,6.820696,0.0,191.0,0.0,210.0,19.0,199.74007,8.67509
5,0,6,0,normal,0.4,0.5,0.1,0.825,33.0,2.0,0.0,4.206222,0.0,3.5,40.0,0.5,0.999709,0.024121448,0.024121448,-0.999709,336.0,33.0,548.63544,2.5712078,1.0438069,9032.0,0.5034227,0.0,0.0,1.0,14.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.69696,0.8357917,231.0,247.10234,255.49414,269.9043,286.22168,306.69257,336.0,231.0,1289.0,11543.762,322790.0,40.044155,1010.0,224.0,50.0,48.0,27.0,27.0,48.0,89.0,78.0,56.0,57.0,31.0,12.0,11.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,179.32777,5.250783,118.0,6.8284273,2.0,6.8284273,2.0,3.4142137,0.0,345.0,0.0,355.0,4.0,349.57574,1.2424242
6,0,7,0,normal,0.4,0.6,0.0,0.7619048,64.0,2.0,0.0,5.7330446,0.0,10.0,84.0,18.0,0.9994789,-0.032280024,-0.032280024,-0.9994789,455.0,64.0,3650.1013,3.4714355,1.5378255,22127.0,-0.47132546,0.0,1.0,6.0,3.0,2.0,4.0,9.0,10.0,12.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.73438,-0.48764622,208.0,240.82968,314.40625,354.7547,388.57617,421.68564,455.0,208.0,418.0,5223.892,310050.0,3.2550666,56.0,522.0,707.0,206.0,67.0,29.0,23.0,13.0,12.0,5.0,5.0,4.0,7.0,4.0,6.0,4.0,4.0,8.0,4.0,2.0,3.0,1.0,2.0,8.0,7.0,4.0,3.0,2.0,6.0,4.0,4.0,3.0,2.0,3.0,2.0,8.0,6.0,1.0,10.0,4.0,14.0,7.0,11.0,9.0,10.0,6.0,9.0,10.0,16.0,14.0,9.0,15.0,12.0,11.0,11.0,6.0,6.0,8.0,7.0,3.0,2.0,2.0,2.0,3.0,157.06686,2.1882322,115.0,5.4142137,2.0,5.4142137,5.0990195,2.7071068,0.0,469.0,0.0,483.0,6.0,475.07812,2.0
7,0,8,0,normal,0.27,0.7,0.03,0.8605769,179.0,4.0,1.289701,8.257603,1.7835647,7.25,208.0,48.25,0.9595224,-0.28163213,-0.28163213,-0.9595224,495.0,179.0,4056.1519,4.2464256,3.4138994,66365.0,-0.04715223,1.0,1.0,4.0,11.0,7.0,9.0,12.0,24.0,29.0,32.0,21.0,15.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.75418,-0.55750924,172.0,269.98907,337.64615,378.65274,414.14713,449.05927,495.0,172.0,414.0,5027.7305,377491.0,2.8114207,20.0,388.0,928.0,367.0,168.0,41.0,25.0,21.0,18.0,11.0,10.0,5.0,9.0,9.0,7.0,10.0,9.0,4.0,4.0,4.0,8.0,2.0,6.0,3.0,4.0,11.0,5.0,5.0,3.0,3.0,0.0,4.0,8.0,2.0,9.0,11.0,8.0,9.0,7.0,11.0,16.0,13.0,15.0,14.0,19.0,15.0,15.0,20.0,20.0,12.0,13.0,14.0,8.0,8.0,13.0,9.0,6.0,8.0,4.0,4.0,4.0,1.0,0.0,1.0,155.41005,2.0855734,111.0,55.870056,9.0,17.485281,15.132746,6.207784,0.0,662.0,0.0,678.0,13.0,669.32404,5.50838
8,0,9,0,normal,0.4,0.58,0.02,0.8541667,82.0,2.0,0.0,7.0287266,0.0,7.0,96.0,2.0,0.99995613,-0.009368707,-0.009368707,-0.99995613,414.0,82.0,1849.8632,4.124358,1.6356263,27870.0,-0.18566313,0.0,0.0,3.0,3.0,8.0,6.0,13.0,19.0,20.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.87805,-0.7143105,230.0,273.46445,315.31912,348.13403,373.14883,390.35626,414.0,230.0,495.0,8300.249,352011.0,1.7146077,16.0,445.0,733.0,246.0,51.0,37.0,24.0,12.0,12.0,10.0,13.0,9.0,17.0,7.0,7.0,6.0,10.0,3.0,4.0,7.0,10.0,5.0,6.0,4.0,3.0,9.0,5.0,5.0,7.0,6.0,7.0,11.0,13.0,10.0,14.0,16.0,15.0,13.0,20.0,9.0,18.0,13.0,14.0,21.0,8.0,19.0,8.0,16.0,11.0,10.0,6.0,9.0,9.0,5.0,3.0,4.0,6.0,8.0,2.0,1.0,3.0,0.0,1.0,2.0,171.37828,1.7840904,111.0,13.071068,3.0,11.071068,4.472136,4.357023,0.0,686.0,0.0,702.0,6.0,693.35364,2.207317
9,0,10,0,normal,0.0,1.0,0.0,0.8076923,294.0,3.0,1.6079698,12.10754,0.0,23.333334,364.0,764.3333,0.9924663,-0.122518264,-0.122518264,-0.9924663,528.0,294.0,3565.3955,7.169836,3.3923156,117793.0,0.38491443,0.0,0.0,4.0,7.0,10.0,11.0,7.0,15.0,48.0,47.0,55.0,49.0,20.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.65646,-0.65446323,228.0,308.7963,371.5171,408.33377,441.0703,470.57843,528.0,228.0,450.0,4758.0967,407171.0,5.2484517,417.0,989.0,597.0,162.0,60.0,33.0,14.0,20.0,12.0,12.0,11.0,3.0,7.0,9.0,10.0,15.0,5.0,8.0,6.0,4.0,4.0,8.0,7.0,4.0,5.0,3.0,5.0,2.0,1.0,5.0,5.0,8.0,1.0,4.0,5.0,5.0,7.0,10.0,14.0,5.0,10.0,12.0,16.0,9.0,7.0,11.0,18.0,7.0,18.0,13.0,18.0,13.0,7.0,13.0,7.0,5.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,151.02782,2.5735705,115.0,64.941124,7.0,27.384777,18.027756,9.277304,0.0,726.0,0.0,754.0,13.0,738.1803,5.251701
